season_id,season_label,start_year
1206,1855-1856,1855
1207,1856-1857,1856
1208,1857-1858,1857
1209,1858-1859,1858
1210,1859-1860,1859
1211,1860-1861,1860
1212,1861-1862,1861
1213,1862-1863,1862
1214,1863-1864,1863
1215,1864-1865,1864
1216,1865-1866,1865
1217,1866-1867,1866
1218,1867-1868,1867
1219,1868-1869,1868
1220,1869-1870,1869
1221,1870-1871,1870
1222,1871-1872,1871
1223,1872-1873,1872
1224,1873-1874,1873
1225,1874-1875,1874
1226,1875-1876,1875
1227,1876-1877,1876
1228,1877-1878,1877
1229,1878-1879,1878
1230,1879-1880,1879
1231,1880-1881,1880
1232,1881-1882,1881
1233,1882-1883,1882
1234,1883-1884,1883
1235,1884-1885,1884
1236,1885-1886,1885
1237,1886-1887,1886
1238,1887-1888,1887
1239,1888-1889,1888
1240,1889-1890,1889
1241,1890-1891,1890
1242,1891-1892,1891
1243,1892-1893,1892
1244,1893-1894,1893
1245,1894-1895,1894
1246,1895-1896,1895
1247,1896-1897,1896
1248,1897-1898,1897
1249,1898-1899,1898
1267,1751-1752,1751
1268,2000-2001,2000
1270,2001-2002,2001
1271,2002-2003,2002
1272,2003-2004,2003
1273,2004-2005,2004
1274,2005-2006,2005
1275,2006-2007,2006
1276,2007-2008,2007
1277,2008-2009,2008
1278,2009-2010,2009
1280,2010-2011,2010
1281,2011-2012,2011
1282,2012-2013,2012
1283,2013-2014,2013
1284,2014-2015,2014
1285,2015-2016,2015
1286,2016-2017,2016
1287,2017-2018,2017
1288,2018-2019,2018
1289,2019-2020,2019
1290,2020-2021,2020
1291,2021-2022,2021
1295,2022-2023,2022
1296,2023-2024,2023
1297,2024-2025,2024
1298,2025-2026,2025
1299,2026-2027,2026
