performer_id,degree
A_68113,299
A_113201,299
A_29300,299
A_80937,299
A_113553,299
A_31489,299
A_113199,298
A_69115,298
A_58332,298
A_34868,298
A_41191,298
A_113119,297
A_48207,297
A_61915,297
A_14789,296
A_14508,296
A_57462,296
A_53835,296
A_39472,296
A_14355,296
A_53535,295
A_81704,295
A_68613,295
A_48152,295
A_47222,295
A_68598,295
A_1117,295
A_58703,295
A_67450,295
A_113111,295
A_102922,294
A_55890,294
A_60374,294
A_67999,294
A_29759,294
A_5121,294
A_95422,294
A_35997,294
A_47077,294
A_64304,293
A_36421,293
A_113503,293
A_45683,293
A_51301,293
A_36158,293
A_40770,293
A_6731,293
A_97812,293
A_15637,293
A_54493,293
A_67230,292
A_54272,292
A_15948,292
A_68949,292
A_39161,292
A_116193,292
A_92278,292
A_383842,291
A_94806,291
A_4450,291
A_15137,291
A_4556,291
A_434367,291
A_421481,291
A_58477,291
A_33695,291
A_422705,291
A_77774,290
A_29380,290
A_9732,290
A_42654,290
A_51446,290
A_99817,290
A_15482,290
A_35338,290
A_40267,290
A_99579,290
A_58414,290
A_35029,289
A_55605,289
A_59392,289
A_70151,289
A_67156,289
A_66819,289
A_25311,289
A_93853,288
A_40805,288
A_53154,288
A_59442,288
A_31365,288
A_31298,288
A_40705,287
A_81625,287
A_426004,287
A_113878,287
A_29951,287
A_43858,287
A_62419,286
A_49224,286
A_88902,286
A_42779,286
A_114719,286
A_387374,286
A_51153,286
A_53283,286
A_66867,286
A_56472,286
A_37812,286
A_67091,286
A_60371,286
A_48104,286
A_67914,286
A_84301,285
A_67628,285
A_113579,285
A_113450,285
A_113125,285
A_81521,285
A_68415,285
A_15406,285
A_48139,285
A_112007,285
A_31297,285
A_75312,285
A_387354,284
A_92402,284
A_117964,283
A_48100,283
A_48890,283
A_22947,283
A_59613,283
A_102482,283
A_43460,283
A_74546,283
A_397549,282
A_58736,282
A_33767,282
A_55972,282
A_38122,282
A_114457,281
A_14269,281
A_105809,281
A_54436,281
A_94801,281
A_43126,281
A_100146,281
A_424714,281
A_72550,281
A_114341,281
A_33868,280
A_53068,280
A_382104,280
A_31280,280
A_81775,280
A_62458,280
A_67617,280
A_92306,280
A_113674,279
A_77096,279
A_34696,279
A_44061,279
A_499177,279
A_8328,279
A_99471,279
A_45928,279
A_38517,279
A_44196,278
A_58314,278
A_112321,278
A_114094,278
A_31061,278
A_68658,278
A_62927,278
A_35295,278
A_47933,277
A_26421,277
A_114568,277
A_34235,277
A_71080,277
A_65093,277
A_68905,277
A_425598,277
A_47479,277
A_42458,277
A_113310,277
A_48054,276
A_98505,276
A_56691,276
A_36249,276
A_37851,276
A_64212,276
A_39694,276
A_41117,276
A_67946,276
A_81118,276
A_54028,275
A_50408,275
A_34325,275
A_63339,275
A_68706,274
A_55441,274
A_52369,274
A_380297,274
A_33922,274
A_61685,274
A_64169,274
A_31323,274
A_93036,274
A_67351,274
A_36544,274
A_9194,274
A_380041,273
A_450795,273
A_16182,273
A_68204,273
A_51662,273
A_55473,273
A_80545,273
A_115262,273
A_65549,273
A_104283,273
A_64196,272
A_30785,272
A_44813,272
A_54211,272
A_67081,272
A_61251,272
A_80703,272
A_33421,272
A_66821,272
A_56617,272
A_1508,272
A_39825,272
A_32159,272
A_49233,272
A_47039,271
A_67563,271
A_59306,271
A_386832,271
A_30699,271
A_98068,271
A_105627,271
A_44355,271
A_35438,271
A_77259,271
A_9555,271
A_39437,270
A_49669,270
A_397562,270
A_93906,270
A_88429,270
A_98383,270
A_64671,270
A_97024,270
A_105360,270
A_86703,270
A_51537,270
A_65873,270
A_76897,269
A_76948,269
A_35842,269
A_113763,269
A_92434,269
A_61081,269
A_35271,269
A_42128,268
A_41218,268
A_419697,268
A_34732,268
A_52361,268
A_113274,268
A_56997,268
A_48878,268
A_52003,268
A_68963,268
A_56171,268
A_78140,268
A_64610,267
A_38624,267
A_49982,267
A_68649,267
A_89710,267
A_68184,267
A_97788,267
A_63197,267
A_40114,267
A_66745,267
A_36465,267
A_62398,267
A_31399,266
A_6411,266
A_375519,266
A_74355,266
A_38689,266
A_29534,266
A_111027,266
A_379945,266
A_397563,266
A_40434,265
A_53277,265
A_14530,265
A_40879,265
A_62888,265
A_8060,265
A_47099,265
A_36194,265
A_46273,265
A_77301,265
A_42962,265
A_41771,265
A_113299,265
A_52685,264
A_63079,264
A_46170,264
A_68960,264
A_94807,264
A_67632,264
A_424967,264
A_96536,263
A_14482,263
A_59588,263
A_41436,263
A_37182,262
A_87864,262
A_40225,262
A_98071,262
A_116186,262
A_51467,262
A_33269,262
A_113272,262
A_53758,262
A_114884,262
A_56294,262
A_54196,262
A_29311,262
A_68261,261
A_27007,261
A_44936,261
A_98206,261
A_68630,261
A_38743,261
A_95600,261
A_62199,261
A_32335,261
A_86348,261
A_113551,261
A_68342,261
A_23419,261
A_108042,260
A_110923,260
A_105658,260
A_61502,260
A_49105,260
A_68193,260
A_63340,260
A_5198,260
A_67332,260
A_67060,260
A_69130,260
A_60417,260
A_59777,260
A_72236,260
A_92313,260
A_119018,260
A_100531,260
A_57847,260
A_61336,260
A_56979,259
A_114229,259
A_88805,259
A_94230,259
A_385570,259
A_67453,259
A_65239,259
A_68855,259
A_113422,259
A_58918,258
A_31104,258
A_39126,258
A_96979,258
A_34718,258
A_59686,258
A_64605,258
A_67575,257
A_114080,257
A_57413,257
A_94782,257
A_113675,257
A_67672,257
A_99460,257
A_49092,257
A_45275,257
A_113279,257
A_482521,257
A_51740,256
A_53408,256
A_56984,256
A_71352,256
A_8466,256
A_38790,256
A_58201,256
A_30323,256
A_34023,256
A_60095,256
A_38443,256
A_68242,256
A_113296,256
A_36945,256
A_53156,256
A_113108,256
A_79819,256
A_68090,256
A_42694,256
A_52655,256
A_422100,255
A_46564,255
A_39168,255
A_45805,255
A_114140,255
A_64223,255
A_76951,255
A_74253,255
A_92496,255
A_59143,255
A_58434,255
A_116179,255
A_47127,254
A_78581,254
A_63442,254
A_32456,254
A_422771,254
A_34754,254
A_68199,254
A_101469,254
A_99793,254
A_76929,254
A_116429,254
A_105409,254
A_89110,254
A_43654,254
A_67061,254
A_117750,253
A_114356,253
A_398194,253
A_68505,253
A_44495,253
A_29617,253
A_51100,253
A_67112,253
A_41199,253
A_43089,253
A_51033,253
A_42225,252
A_49080,252
A_32009,252
A_61611,252
A_68205,252
A_37401,252
A_97797,252
A_41811,252
A_32399,252
A_55584,252
A_53197,252
A_68780,252
A_65924,252
A_61213,252
A_93116,252
A_29412,252
A_53838,251
A_6862,251
A_63150,251
A_118096,251
A_97537,251
A_52412,251
A_58352,250
A_51946,250
A_94235,250
A_69070,250
A_14841,250
A_68767,250
A_105101,250
A_14179,250
A_387014,250
A_55672,250
A_114560,250
A_450748,250
A_71976,250
A_57130,250
A_63160,250
A_113784,250
A_37511,250
A_62218,250
A_52722,250
A_58385,250
A_45021,250
A_115130,250
A_67174,250
A_452339,249
A_104281,249
A_42635,249
A_97799,249
A_426034,249
A_382984,249
A_63151,249
A_47967,249
A_68861,249
A_57813,249
A_67056,249
A_45967,249
A_44300,249
A_60695,249
A_85896,249
A_62609,249
A_51377,249
A_384282,248
A_94310,248
A_47807,248
A_69676,248
A_45940,248
A_92310,248
A_45862,248
A_49813,248
A_37091,248
A_1274,248
A_98384,248
A_376350,248
A_8875,248
A_1219,248
A_54451,248
A_88824,248
A_113812,248
A_77001,247
A_31559,247
A_67220,247
A_111100,247
A_62454,247
A_69566,247
A_49323,247
A_114442,247
A_88672,247
A_51553,247
A_77032,247
A_56279,247
A_52358,247
A_63139,247
A_114473,247
A_71963,247
A_96883,247
A_92292,246
A_440619,246
A_43890,246
A_113714,246
A_36294,246
A_419679,246
A_29571,246
A_113862,246
A_397535,246
A_67821,246
A_47278,246
A_50698,246
A_52149,246
A_425597,246
A_118456,245
A_57418,245
A_14219,245
A_68961,245
A_68980,245
A_68826,245
A_42032,245
A_397010,245
A_44693,245
A_63763,244
A_114735,244
A_68298,244
A_51653,244
A_79363,244
A_96186,244
A_72278,244
A_96624,244
A_59368,244
A_43727,244
A_106173,244
A_69952,244
A_57853,244
A_116191,244
A_68911,244
A_70646,244
A_426020,243
A_112508,243
A_99456,243
A_441929,243
A_58279,243
A_56070,243
A_113573,243
A_55851,243
A_30907,243
A_59587,243
A_14264,243
A_46764,243
A_44352,243
A_68450,243
A_113413,243
A_52112,242
A_79476,242
