source,target,weight,layout_weight
A_35746,A_79657,2,1.0986122886681098
A_35746,A_75024,2,1.0986122886681098
A_460762,A_460756,2,1.0986122886681098
A_57283,A_44819,2,1.0986122886681098
A_57283,A_38011,2,1.0986122886681098
A_57283,A_14179,2,1.0986122886681098
A_57283,A_54686,2,1.0986122886681098
A_44010,A_1463,2,1.0986122886681098
A_44010,A_101624,3,1.3862943611198906
A_44010,A_50869,2,1.0986122886681098
A_44010,A_51139,2,1.0986122886681098
A_44010,A_81123,2,1.0986122886681098
A_44010,A_95131,3,1.3862943611198906
A_44010,A_81683,2,1.0986122886681098
A_44010,A_57813,3,1.3862943611198906
A_44010,A_102922,2,1.0986122886681098
A_44010,A_93313,3,1.3862943611198906
A_44010,A_58117,3,1.3862943611198906
A_44010,A_103601,2,1.0986122886681098
A_44010,A_32653,3,1.3862943611198906
A_85387,A_85895,2,1.0986122886681098
A_382990,A_68193,2,1.0986122886681098
A_382990,A_378132,2,1.0986122886681098
A_382990,A_382838,2,1.0986122886681098
A_382990,A_378222,2,1.0986122886681098
A_382990,A_378213,2,1.0986122886681098
A_382990,A_382991,2,1.0986122886681098
A_382990,A_45050,2,1.0986122886681098
A_382990,A_30866,2,1.0986122886681098
A_382990,A_111162,2,1.0986122886681098
A_382990,A_378220,2,1.0986122886681098
A_382990,A_41881,2,1.0986122886681098
A_382990,A_378217,2,1.0986122886681098
A_382990,A_32095,2,1.0986122886681098
A_382990,A_35584,2,1.0986122886681098
A_382990,A_49109,2,1.0986122886681098
A_382990,A_382984,2,1.0986122886681098
A_382990,A_97784,2,1.0986122886681098
A_382990,A_51740,2,1.0986122886681098
A_382990,A_38476,2,1.0986122886681098
A_382990,A_382836,2,1.0986122886681098
A_382990,A_116429,2,1.0986122886681098
A_382990,A_382837,2,1.0986122886681098
A_382990,A_41614,2,1.0986122886681098
A_382990,A_378209,2,1.0986122886681098
A_382990,A_31134,2,1.0986122886681098
A_382990,A_65665,2,1.0986122886681098
A_382990,A_96794,2,1.0986122886681098
A_382990,A_502013,2,1.0986122886681098
A_382990,A_382988,2,1.0986122886681098
A_382990,A_92287,2,1.0986122886681098
A_382990,A_68072,2,1.0986122886681098
A_382990,A_53067,2,1.0986122886681098
A_382990,A_115253,2,1.0986122886681098
A_382990,A_378212,2,1.0986122886681098
A_382990,A_41138,2,1.0986122886681098
A_382990,A_68340,2,1.0986122886681098
A_382990,A_378216,2,1.0986122886681098
A_382990,A_92496,2,1.0986122886681098
A_382990,A_54098,2,1.0986122886681098
A_382990,A_29794,2,1.0986122886681098
A_382990,A_68634,2,1.0986122886681098
A_382990,A_53589,2,1.0986122886681098
A_382990,A_49094,2,1.0986122886681098
A_74126,A_54211,2,1.0986122886681098
A_74126,A_76581,2,1.0986122886681098
A_413318,A_62212,2,1.0986122886681098
A_413318,A_466428,2,1.0986122886681098
A_413318,A_99460,2,1.0986122886681098
A_413318,A_479497,3,1.3862943611198906
A_413318,A_105163,3,1.3862943611198906
A_413318,A_115302,2,1.0986122886681098
A_413318,A_479504,2,1.0986122886681098
A_413318,A_479506,2,1.0986122886681098
A_413318,A_115915,2,1.0986122886681098
A_413318,A_68326,2,1.0986122886681098
A_413318,A_105169,2,1.0986122886681098
A_413318,A_115922,3,1.3862943611198906
A_413318,A_23419,2,1.0986122886681098
A_413318,A_105171,3,1.3862943611198906
A_413318,A_105162,2,1.0986122886681098
A_413318,A_479493,2,1.0986122886681098
A_413318,A_105165,3,1.3862943611198906
A_413318,A_479527,2,1.0986122886681098
A_413318,A_98007,2,1.0986122886681098
A_413318,A_29609,2,1.0986122886681098
A_413318,A_105731,3,1.3862943611198906
A_413318,A_466426,2,1.0986122886681098
