id,x,y,size
A_397554,339.61663818359375,-30.038333892822266,15.162751609631803
A_397431,339.9013366699219,-29.093215942382812,15.162751609631803
A_397555,339.2844543457031,-29.465585708618164,15.162751609631803
A_98377,339.8261413574219,-30.002948760986328,15.162751609631803
A_98386,339.894287109375,-30.066574096679688,15.162751609631803
A_37301,339.6962890625,-29.699365615844727,15.162751609631803
A_37778,338.5887756347656,-29.66066551208496,16.53319436418915
A_37812,339.67401123046875,-30.18416976928711,17.480362584614106
A_397447,338.7635803222656,-29.65909767150879,15.162751609631803
A_397448,339.03607177734375,-29.917734146118164,15.162751609631803
A_397430,339.5722351074219,-30.41437530517578,15.162751609631803
A_395839,339.63525390625,-30.423524856567383,16.519686699101293
A_397428,339.24212646484375,-29.68174743652344,15.162751609631803
A_39273,338.591552734375,-29.39122200012207,15.162751609631803
A_39757,338.58563232421875,-30.271398544311523,16.826771070622264
A_40090,338.88385009765625,-29.737207412719727,15.162751609631803
A_397422,338.8379821777344,-30.47835922241211,15.631642355602658
A_397562,338.34051513671875,-30.599273681640625,17.32345668439716
A_41001,338.94232177734375,-29.2288875579834,15.162751609631803
A_41150,339.96783447265625,-29.687902450561523,15.162751609631803
A_113483,339.5147705078125,-30.30284118652344,16.047932113938337
A_41648,339.84136962890625,-29.796106338500977,16.586567699012274
A_97795,339.1886291503906,-30.603261947631836,18.442598793514364
A_397572,339.0953369140625,-29.2203311920166,15.162751609631803
A_42394,339.38922119140625,-29.86903381347656,16.826771070622264
A_98393,339.0726623535156,-30.200031280517575,16.395018694091643
A_397441,339.4129638671875,-30.261648178100582,15.162751609631803
A_397539,339.17437744140625,-29.61909294128418,15.162751609631803
A_397434,339.2527160644531,-29.235641479492188,15.162751609631803
A_397537,338.85333251953125,-30.763097763061523,16.42321787809006
A_44682,338.891357421875,-29.484100341796875,16.956766430599437
A_45215,338.70855712890625,-29.26995849609375,15.162751609631803
A_45579,339.496337890625,-29.520511627197266,15.162751609631803
A_439083,339.7886657714844,-29.790903091430664,15.162751609631803
A_397548,339.6130065917969,-29.32183837890625,15.162751609631803
A_98405,338.3260192871094,-29.725107192993164,15.162751609631803
A_397556,338.6627502441406,-30.748065948486328,17.01387281837548
A_397436,339.77960205078125,-29.94205093383789,15.162751609631803
